Gender,Race,MOS_Type,ranklit,sex,appdate,YearsOnJob,YearsOnJob (bins)
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
Male,White,Uniform,Police Officer,Male,11/02/2020,3,0
